Rank,CPI2015,Country,Region,wbcode,World Economic Forum EOS,Bertelsmann Foundation TI,African Dev Bank,IMD World Competitiveness Yearbook,Bertelsmann Foundation SGI,World Justice Project ROL,PRS International Country Risk Guide,Economist Intelligence Unit,IHS Global Insight,PERC Asia Risk Guide,Freedom House NIT,Number of Sources,Std Deviation of Sources,Standard Error,Minimum,Maximum,Lower CI,Upper CI,CPI 2015,GDP per capita
83,37,Colombia,AME,COL,36.0,45.0,,31.0,,33.0,41.0,38.0,32.0,,,7,5.13,1.94,31,45,34,40,37,6056.15
83,37,Liberia,SSA,LBR,44.0,45.0,45.0,,,14.0,41.0,,32.0,,,7,11.18,4.23,14,45,30,44,37,455.87
83,37,Sri Lanka,AP,LKA,44.0,28.0,,,,34.0,41.0,38.0,42.0,,,7,5.53,2.09,28,44,34,40,37,3926.17
88,36,Albania,ECA,ALB,49.0,36.0,,,,18.0,41.0,38.0,32.0,,37.0,7,9.48,3.58,18,49,30,42,36,3945.22
88,36,Algeria,MENA,DZA,34.0,36.0,,,,,31.0,38.0,42.0,,,5,4.15,1.86,31,42,33,39,36,4154.12
88,36,Egypt,MENA,EGY,47.0,32.0,,,,35.0,31.0,38.0,32.0,,,6,6.05,2.47,31,47,32,40,36,3614.75
88,36,Indonesia,AP,IDN,43.0,36.0,,37.0,,17.0,50.0,38.0,32.0,32.0,,8,9.58,3.39,17,50,30,42,36,3346.49
88,36,Morocco,MENA,MAR,47.0,28.0,,,,22.0,41.0,38.0,42.0,,,6,9.44,3.85,22,47,30,42,36,2926.14
88,36,Peru,AME,PER,44.0,45.0,,30.0,,24.0,31.0,38.0,42.0,,,7,8.06,3.05,24,45,31,41,36,6027.13
88,36,Suriname,AME,SUR,35.0,,,,,,31.0,,42.0,,,3,5.57,3.22,31,42,31,41,36,9485.32
95,35,Armenia,ECA,ARM,45.0,28.0,,,,,31.0,,32.0,,37.0,5,6.66,2.98,28,45,30,40,35,3489.13
95,35,Mali,SSA,MLI,32.0,32.0,40.0,,,,31.0,,42.0,,,6,4.63,1.89,31,42,32,38,35,724.26
95,35,Mexico,AME,MEX,33.0,28.0,,28.0,73.0,20.0,21.0,38.0,42.0,,,8,17.0,6.01,20,73,25,45,35,9005.02
95,35,Philippines,AP,PHL,36.0,36.0,,33.0,,23.0,41.0,38.0,32.0,37.0,,8,5.42,1.92,23,41,32,38,35,2904.2
